id,provincia,region
1,Araba/Álava,16
2,Albacete,7
3,Alicante/Alacant,17
4,Almería,1
5,Ávila,8
6,Badajoz,10
7,"Balears, Illes",4
8,Barcelona,9
9,Burgos,8
10,Cáceres,10
11,Cádiz,1
12,Castellón/Castelló,17
13,Ciudad Real,7
14,Córdoba,1
15,"Coruña, A",11
16,Cuenca,7
17,Girona,9
18,Granada,1
19,Guadalajara,7
20,Gipuzkoa,16
21,Huelva,1
22,Huesca,2
23,Jaén,1
24,León,8
25,Lleida,9
26,"Rioja, La",12
27,Lugo,11
28,Madrid,13
29,Málaga,1
30,Murcia,14
31,Navarra,15
32,Ourense,11
33,Asturias,3
34,Palencia,8
35,"Palmas, Las",5
36,Pontevedra,11
37,Salamanca,8
38,Santa Cruz de Tenerife,5
39,Cantabria,6
40,Segovia,8
41,Sevilla,1
42,Soria,8
43,Tarragona,9
44,Teruel,2
45,Toledo,7
46,Valencia/València,17
47,Valladolid,8
48,Bizkaia,16
49,Zamora,8
50,Zaragoza,2
51,Ceuta,18
52,Melilla,19
